ID,Name,Position,Company,Industry,Location,Company Size,Category,Price Range,Timeline,Review Summary,Rating,Review Date,Data Source
1,James Xu-Johnson,Director,Wishu Labs,Software,United Kingdom,11-50 Employees,"Custom Software Development, IT Staff Augmentation, Web Development","$200,000 to $999,999",Apr. 2020 - Apr. 2023,inVerita developed a responsive web app for a software development consultation firm through their staff augmentation services. The team delivered an iOS version of the app and an ed-tech sotware.,5,,Clutch
2,Simonas Grybauskas,Owner,S'OS Orthognatic Surgery,Healthcare,Lithuania,11-50 Employees,Custom Software Development,"$200,000 to $999,999",Sep. 2020 - Ongoing,inVerita provides custom software development services for a dental clinic. They're helping the client build a custom solution to better manage patient data.,5,,Clutch
3,Nadia Lushchak,CEO,QubStudio,Information technology,Ukraine,11-50 Employees,Custom Software Development,"$50,000 to $199,999",May 2019 - Ongoing,"inVerita acts as a development partner, implementing front-and backend development on an international web-based platform. They've also delivered marketing services.",5,,Clutch
4,Staffan Jenemark,Owner,Stajen Consulting,IT Services,Sweden,1-10 Employees,Custom Software Development,"$50,000 to $199,999",Feb. 2017 - May 2018,"inVeritaSoft works with third-party customers to meet software development needs. They recently built a system to manage the workflow of documents, collaborating closely with the internal team.",5,,Clutch
5,Andreas Westling,CEO,Westarc,IT Services,Sweden,1-10 Employees,Custom Software Development,"$50,000 to $199,999",Feb. 2017 - Ongoing,"inVertiaSoft augmented the development of a cloud-based management platform for nonprofits. They used .NET, JavaScript, HTML, SQL, and Oracle Application Server to build the software.",4.5,,Clutch
6,Pavlo Lysyy,CTO & Co-Founder,Panem Agency,Advertising & marketing,Ukraine,51-200 Employees,Mobile App Development,"$10,000 to $49,999",Oct. 2024 - Ongoing,"A digital marketing agency has hired inVerita for mobile app development. The team has been responsible for the discovery, architecture, design, development, QA, and technical documentation.",5,,Clutch
7,Carlos Bravo,Digital Products Coordinator,MONEX,Financial services,Mexico,"1,001-5,000 Employees","Custom Software Development, DevOps Managed Services, Mobile App Development","$200,000 to $999,999",July 2024 - Ongoing,"Ancient Tech developed a mobile app for a banking services company. The team built the app from scratch, including banking card functionalities and security layers.",5,,Clutch
8,Patricio Gutierrez,CTO,Mesada,Financial services,Mexico,11-50 Employees,"Mobile App Development, UX/UI Design, Web Development","$200,000 to $999,999",Aug. 2022 - Ongoing,"Ancient is building a remittance company’s product, including an Android and iOS mobile app and a web app. They do UI/UX design on Figma and use Flutter, Python, Go, React Native, and Flutter for development.",5,,Clutch
9,Raul Campesino,Operations Director,Coderland by Dominion,Engineering,Panama,51-200 Employees,,"$200,000 to $999,999",Jan. 2020 - Ongoing,"A digital consulting company has hired Ancient to provide IT staff augmentation. They provide working resources for UI/UX design, DevOps, QA, and development tasks.",5,,Clutch
10,Pep Palau,Principal,Ideograma Consultores SC,Design,Mexico,11-50 Employees,"UX/UI Design, Web Design, Web Development","$10,000 to $49,999",Aug. 2021 - May 2022,"Ancient analyzed the existing website and created a wireframe. They also developed a new webpage, during which they conducted several iterations of design and testing.",4.5,,Clutch
11,Hugo Hernandez,CEO,Quark,Other Industry,Mexico,51-200 Employees,Custom Software Development,"$200,000 to $999,999",June 2019 - Ongoing,An IT services company hired Ancient Technology to provide custom software development. They're renewing the client's ERP platform to allow their customers to control their business through a cloud system.,4.5,,Clutch
12,David Vinitzky,Administrative Director,Multi Import,Consumer Products,Mexico,51-200 Employees,E-Commerce Development,"$10,000 to $49,999",Nov. 2018 - Ongoing,Ancient Technology Group developed an e-commerce interface using Amazon and Mercadolibre. Their team used the client’s in-house project management tools.,4.5,,Clutch
13,Antonio Meroño,GM,Alcampo,Retail,Mexico,11-50 Employees,Custom Software Development,"$10,000 to $49,999",Mar. 2019 - Ongoing,"A retailer hired Alcampo to sync their online and retail inventories. They solved the problem, creating a new e-commerce and inventory platform that they integrated with third-party vendors like eBay.",4.5,,Clutch
14,Jose Miguel Quintana,Co-CEO,Fortrade,Financial services,Mexico,1-10 Employees,"Application Management & Support, Custom Software Development, UX/UI Design",Confidential,July 2023 - Dec. 2024,Ancient Tech has designed and built a self-service platform for a factoring company. The team is also responsible for maintaining and supporting the platform.,4.5,,Clutch
15,Raul Avila Catalan,Managing Partner,Excelerius,Business services,Mexico,1-10 Employees,"Custom Software Development, Mobile App Development",Confidential,Aug. - Sep. 2024,Ancient Tech developed a component to automate the credit origination process for a business services company. The team built an app for end clients and a backend engine in AWS and deployed the services.,5,,Clutch
16,Donald Ventura,Projecto Manager,Grupo Estrella,Construction,Dominican Republic,"1,001-5,000 Employees","Mobile App Development, Web Development",Confidential,Nov. 2023 - Sep. 2024,Ancient Tech developed a web app and an Android app for a construction company. The team ensured integration with the client's ERP system and support for several management modules.,4,,Clutch
17,Carlos Ortega,Controller,iCard,Financial services,Mexico,51-200 Employees,"Application Management & Support, Web Development","$50,000 to $199,999",8/1/2024,Ancient Tech provides ongoing IT consulting and SI for a financial services firm. The team is responsible for the technical support services needs.,5,,Clutch
18,Julio Cesar Vega,Head of Marketing,QBIK,Construction,Mexico,11-50 Employees,"Custom Software Development, Mobile App Development, Web Development","$50,000 to $199,999",Apr. - June 2024,"Ancient Tech implemented and customized Zoho CRM for a construction company. The team also provided training, developed a website plug-in, and designed and developed an iOS and Android mobile app.",4.5,,Clutch
19,David Peralta,Founder,Bonanza Score,Financial services,Mexico,11-50 Employees,"Custom Software Development, Mobile App Development","$50,000 to $199,999",July - Oct. 2023,Ancient provided mobile app development services for a financial services firm. The team helped build a working MVP of the client's app. They also developed an Android and iOS version of the app.,5,,Clutch
20,Jorge Rubia Antunez,Business Development Director,Dominion Global,IT Services,Mexico,"10,001+ Employees",IT Staff Augmentation,"$1,000,000 to $9,999,999",Jan. 2019 - Ongoing,"Augmenting a tech company's development capabilities, Ancient Technology is assisting in the development of several projects. So far, they have provided 30 qualified developers for the client.",5,,Clutch
21,Nayeli Quinto,Art Direction,Sodio Comunicación Visual,Advertising & marketing,Mexico,11-50 Employees,Mobile App Development,"$50,000 to $199,999",Sep. 2019 - Mar. 2020,A design studio partnered with Ancient Technology Group to develop and design a mobile application for their client. The goal is to create a solution with various integrations.,5,,Clutch
22,Leandro Calcagno,E-commerce Director,Open Sports,Retail,Argentina,51-200 Employees,E-Commerce Development,"$50,000 to $199,999",July 2017 - Ongoing,"Nanlabs built a bespoke Magento site in PHP and SQL, integrating multiple payment and shipping technologies. They also contributed product visualization services and introduced mobile responsiveness.",5,,Clutch
23,Na Giacinti,Markting Supervisor,Agriculture Company,Agriculture,Argentina,"501-1,000 Employees","Custom Software Development, UX/UI Design, Web Development","$50,000 to $199,999",May 2023 - Jan. 2024,"An agricultural company hired NaNLABS for digital product development. By defining database structure and interface logic, the team created a product to enable users to verify work equipment compatibility.",5,,Clutch
24,Monja Madan,Founder,MAM Technologies,Software,United Arab Emirates,1-10 Employees,"Mobile App Development, UX/UI Design","$200,000 to $999,999",May 2024 - Ongoing,"Boopro Technology has developed an iOS and Android app for a pet care software company. The team has designed the app's UX/UI, built its core functionalities, and integrated GPS and in-app messaging.",5,,Clutch
25,Anita Zorko,Project Manager & Resource Manager,Undabot d.o.o.,IT Services,Croatia,51-200 Employees,"API Development, Mobile App Development, Web Development",Confidential,Mar. 2022 - Ongoing,Boopro Technology has developed a mobile and TV app for multi-content streaming for a software development company's end customer. The team's work has included PHP and React development and QA testing.,5,,Clutch
26,David Boya,CTO,Teoricentralen,Education,Sweden,11-50 Employees,"Custom Software Development, E-Commerce Development, UX/UI Design",Confidential,Jan. 2023 - Ongoing,"Boopro Technology has designed and developed a platform for an education company. The team has built a platform with a booking system, e-commerce, and education functionalities.",5,,Clutch
27,Christian Jebrail,CEO,Cleaning Services Company,Business services,Sweden,11-50 Employees,Web Development,"$10,000 to $49,999",Oct. - Dec. 2021,A cleaning services company partnered with Boopro Tech for web development services. The team revamped the client's old website with added booking system.,5,,Clutch
28,Strahinja Jovanovic,Purchase Manager,Desing ltd,Food & Beverages,Serbia,51-200 Employees,Web Development,"$10,000 to $49,999",Dec. 2020 - June 2021,A food production company hired Boopro Tech to develop a website. The team was tasked with customizing CMS for the client's platform.,5,,Clutch
29,Tijana Spasic,COO & Co-Founder,Aetherius Solutions,IT Services,Serbia,1-10 Employees,Mobile App Development,"$10,000 to $49,999",Sep. - Nov. 2024,Boopro Technology provided bug-fixing services for a mobile app development company. The team addressed critical app bugs to ensure the app was stable and user-friendly.,5,,Clutch
30,Mattay Akyol,Owner,Bettys Stad AB,Home Services,Sweden,51-200 Employees,"E-Commerce Development, UX/UI Design, Web Development",Confidential,Mar. 2024 - Ongoing,"Boopro Technology provides UI/UX design services for a cleaning solutions provider. The team is rebuilding the client's React form, Laravel-based reorganization, and Shopify redesign.",5,,Clutch
31,Craig Burke,CEO,Patienteer,Healthcare,United Kingdom,1-10 Employees,IT Staff Augmentation,"$200,000 to $999,999",Sep. 2017 - Ongoing,Arcanys provides an outsourced development team for a healthtech company. Arcanys provides front- and backend software developers who work with SQL table and PHP.,5,,Clutch
32,Michal Niec,CEO,Appliscale,IT Services,Poland,51-200 Employees,"Recruiting, Recruitment Process Outsourcing","$10,000 to $49,999",May 2024 - Ongoing,Techunting provides outsourced recruitment services for a software development company. The team has sourced frontend developers operating in US time zones and proficient in React.,5,,Clutch
33,Piotr Kupczak,Managing Partner & CEO,SentiOne,IT Services,Poland,51-200 Employees,"Recruiting, Recruitment Process Outsourcing","$10,000 to $49,999",June - Nov. 2024,Techunting provided recruiting services for an IT company. The team was responsible for sourcing and recruiting developers and engineers who matched the client's specific technical needs.,5,,Clutch
34,Graham R.,Founder,Blockchain Services Firm,Financial services,United Kingdom,51-200 Employees,IT Staff Augmentation,Confidential,Nov. 2023 - Apr. 2024,"Techunting provided IT staff augmentation services for a blockchain services firm. They sourced and hired blockchain engineers, cybersecurity analysts, and financial software developers.",5,,Clutch
35,Jose Prieto,GM,MJM Consulting,Consulting,Poland,1-10 Employees,IT Staff Augmentation,"$200,000 to $999,999",Jan. - May 2021,Techunting LLC provided staff augmentation services for consulting company. The team handled Power BI development to report the client's e-commerce activities.,5,,Clutch
36,Jhony Moncada,CEO & Co-Founder,Sancrisoft,IT Services,Colombia,11-50 Employees,IT Staff Augmentation,"$10,000 to $49,999",May - Sep. 2020,Techuntin LLC was tasked to support a software company in terms of IT staff augmentation. The main goal was to smoothly merge the outsourced talents with the internal team of one of their clients.,5,,Clutch
37,Thorir Olafsson,Director Digital Development,Icelandair,Transportation,Iceland,"1,001-5,000 Employees","Custom Software Development, IT Staff Augmentation","$200,000 to $999,999",Jan. 2025 - Ongoing,"Dreamix has upscaled an aviation company's digital product teams, focusing on airline operations. The team provides data engineers to accelerate initiatives, integrate new solutions, and centralize data.",5,,Clutch
38,Viktor Krasenov,Business Development,Innoxsys Ltd.,Manufacturing,Bulgaria,51-200 Employees,"API Development, Custom Software Development, Web Development","$200,000 to $999,999",Sep. 2023 - Ongoing,Dreamix has developed a predictive maintenance platform for a machinery and equipment manufacturer. The platform features a customizable dashboard and full connectivity with hardware sensors.,5,,Clutch
39,Gabriela Buraga,Head of Backend Engineering,Synertrade,Software,Romania,201-500 Employees,"AI Development, DevOps Managed Services, UX/UI Design",Confidential,July 2024 - Ongoing,"Dreamix provides UI/UX design and development services for a procurement software company. The team's work includes transforming the UI/UX using new technologies, building the CI/CD infrastructure, and more.",5,,Clutch
40,Biliana Barker,Co-Founder,Seneca Advisory Ltd.,Healthcare,United Kingdom,11-50 Employees,"AI Consulting, Custom Software Development, IT Strategy Consulting",Confidential,Jan. 2024 - Ongoing,"Dreamix provides custom software development services for a digital health consultancy. The team is responsible for conceptualizing the system, designing wireframes, and creating an MVP.",5,,Clutch
